Label,RiskLevel,AvgProfit,AvgHoldDays,ProfitPerDay,WinRate,AvgProfitLong,AvgHoldLong,ProfitPerDayLong,WinRateLong,AvgProfitShort,AvgHoldShort,ProfitPerDayShort,WinRateShort
stocks,1,0.21441064430261725,1.0,0.21441064430261725,54.79744136460555,0.08424661366320528,1.0,0.08424661366320528,50.19762845849802,0.36687129130155816,1.0,0.36687129130155816,60.18518518518518
etfs,1,0.2479541038832905,1.0,0.2479541038832905,56.14035087719298,0.09718945388158318,1.0,0.09718945388158318,58.203125,0.44093285588547587,1.0,0.44093285588547587,53.5
combined,1,0.2253832537493798,1.0,0.2253832537493798,55.23672883787661,0.0885948644452325,1.0,0.0885948644452325,52.887139107611546,0.39030849528381056,1.0,0.39030849528381056,58.06962025316456
stocks,2,0.12545642227347473,2.0,0.06272821113673736,49.89339019189765,0.142667791415963,2.0,0.0713338957079815,48.22134387351779,0.10529680934268981,2.0,0.052648404671344906,51.851851851851855
etfs,2,0.30430011740240287,2.0,0.15215005870120143,54.824561403508774,0.09689848574635107,2.0,0.048449242873175535,57.8125,0.5697742059221491,2.0,0.28488710296107456,51.0
combined,2,0.18395909442468794,2.0,0.09197954721234397,51.506456241033,0.1272912267815527,2.0,0.06364561339077635,51.44356955380577,0.252283327247582,2.0,0.126141663623791,51.58227848101266
stocks,3,0.1050297979837351,3.0,0.03500993266124503,48.933901918976545,0.2692738469366146,3.0,0.08975794897887154,51.383399209486164,-0.08734864824348026,3.0,-0.029116216081160086,46.06481481481482
etfs,3,0.18483094898003496,3.0,0.06161031632667832,52.41228070175438,0.03656652331846999,3.0,0.012188841106156664,55.46875,0.37460941382683816,3.0,0.12486980460894605,48.5
combined,3,0.13113404823790492,3.0,0.04371134941263498,50.07173601147776,0.19109395868694923,3.0,0.06369798622898308,52.75590551181102,0.058840611905354674,3.0,0.019613537301784893,46.835443037974684
stocks,5,0.24299099794162043,5.0,0.048598199588324086,50.852878464818765,0.36938996748858877,5.0,0.07387799349771776,52.76679841897233,0.09494035305558807,5.0,0.018988070611117614,48.611111111111114
etfs,5,0.45217033944975,5.0,0.09043406788995,54.3859649122807,0.09723531259805895,5.0,0.019447062519611792,57.8125,0.9064871738199145,5.0,0.18129743476398288,50.0
combined,5,0.311416951835241,5.0,0.0622833903670482,52.00860832137733,0.2779574325122428,5.0,0.055591486502448564,54.46194225721785,0.3517589672215141,5.0,0.07035179344430283,49.050632911392405
stocks,10,0.2674642955379954,10.0,0.026746429553799536,51.172707889125796,0.7789010868183238,10.0,0.07789010868183238,52.96442687747036,-0.3315797238783152,10.0,-0.03315797238783152,49.074074074074076
etfs,10,0.061416237521099676,10.0,0.006141623752109968,55.26315789473684,0.20917136850039242,10.0,0.020917136850039243,59.765625,-0.12771033013239502,10.0,-0.012771033013239503,49.5
combined,10,0.2000626352397856,10.0,0.02000626352397856,52.51076040172166,0.587495827120961,10.0,0.0587495827120961,55.249343832021,-0.267064092946062,10.0,-0.026706409294606197,49.20886075949367
